hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
Zone Connect by The Park Parra Goa,Bardez,| 2-3 minutes walk from Calangute Beach,3.9,"['| 1 Bedroom | Sleeps 3 guests', 'Reception']","₹4,864 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Lemon Tree Amarante Beach Resort,Candolim,| 2.0 km drive to Vagator Beach,4,"['Housekeeping', 'null']","₹11,496 per night",null,null,null,CoupleFriendlyBreakfastIncludedEnjoy2complimentarypintsofbeer
Whoopers  Boutique Morjim Goa,Morjim,| 1.4 km drive to Mandrem Beach,4.7,"['Jacuzzi', 'Swimming Pool']","₹2,076 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,FreeCancellationBook@₹0available
Grand royal suites Benaulim,Benaulim,| 2.0 km drive to Morjim Beach,3.5,"['Room in a Villa', '| 1 Bedroom | Sleeps 12 guests']","₹1,697 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,
TreeHouse Blue Hotel & Serviced Apartments,Majorda,| 4 minutes walk to Baga Beach,4.5,"['Caretaker', 'Spa']","₹4,025 per night",Like a 4 Star,Room in an Apartment,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedServicedapartmentswithacafé,anoutdoorpool&playarea"
Mykonos Blu,Baga,| 2.2 km drive to Vagator Beach,4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹5,838 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesNearthebeach,poolsidebar&aplushbathtub"
"O Hotel Goa, Candolim Beach",Candolim,| About a minute walk to Ashwem Beach,3.9,"['Shared Swimming Pool', 'Pool/ Beach towels']","₹11,406 per night",null,null,null,CoupleFriendlyBreakfastIncluded
KARA CASA,Arpora,| 7 minutes walk to Colva Beach,4.7,"['Swimming Pool', 'Restaurant']","₹2,890 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 8 guests,CoupleFriendly
Larisa Resort Ashwem,North Goa,Ends  in  18h:  04m:  22s,4.3,"['Kids Play Area', 'Swimming Pool']","₹18,404 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesHappyHoursSpecial:1+1onIMFL10%DiscountonF&Bservices
Palm Paradise Anjuna,Anjuna,| 4 minutes walk to Candolim Beach,4.5,"['Restaurant', 'Swimming Pool']","₹1,867 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Royal Orchid Beach Resort & Spa,Utorda Beach,| 4 minutes walk to Morjim Beach,4.2,"['Gym', 'Room in a Cottage']","₹13,562 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges10%offonFood&Beverages
Olive Calangute Mira by Embassy Group,Calangute,| 2.1 km drive to Benaulim Beach,4,"['| 1 Bedroom | Sleeps 4 guests', 'Shared Swimming Pool']","₹3,234 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Living Room Beach Resort,Morjim,| 2.4 km drive to Utorda Beach,3.6,"['Caretaker', '| 1 Bedroom | Sleeps 4 guests']","₹7,826 per night",Like a 4 Star,Room in a Cottage,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyBreakfastavailableatextrachargesPlushresortflauntingapool,bar,jacuzzi&beachaccess"
Rio Boutique Hotel,Bardez,| 3-4 minutes walk from Baga Beach,4.1,"['Shared Swimming Pool', 'Caretaker']","₹3,146 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Hotel Z Square ( Hotel Ashok Plaza),Panjim,| 4-5 minutes walk from Candolim Beach,3.7,"['Room in an Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹2,704 per night",null,null,null,CoupleFriendlyPayAtHotel
The Last Minute Trip,Morjim,| 2.0 km drive to Baga Beach,4.9,"['Shared Swimming Pool', 'Caretaker']","₹2,211 per night",Like a 3 Star,Room in a Hostel,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly
The Byke Old Anchor Beach Resort & Spa,Cavelossim,null,3.8,"['Swimming Pool', 'Restaurant']","₹1,828 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Andaz Arambol - Artist Party Hostel,Arambol,| 1.7 km drive to Anjuna Beach,3.8,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']",₹489 per night,null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendlyFreeCancellationBook@₹0available
Planet Hollywood Beach Resort,Utorda Beach,Ends  in  02h:  59m:  38s,4.4,"['Reception', 'Caretaker']","₹11,994 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%offonsessionofSpa
Kalki Resort and Cottages Baga,Baga,| 3 minutes walk to Utorda Beach,3.3,"['null', 'Gym']","₹2,815 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
AquaVista at Casa Philomena,Calangute Baga Road,| 2-3 minutes walk from Calangute Beach,4.2,"['Swimming Pool', 'Room in an Apartment']","₹4,151 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,
Candolim suites - A unit of pal hospitality,Calangute,| About a minute walk to Morjim Beach,3.8,"['| 1 Bedroom | Sleeps 4 guests', 'Reception']","₹3,815 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availablePayAtHotel
Durga Resort,Arambol Beach,null,4,"['Housekeeping', '| 1 Bedroom | Sleeps 4 guests']","₹1,318 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyRoomsinanapartmentwithalawn,freeparking&Wi-Fi"
Marbela Beach Resort,Morjim,| 8 minutes walk to Deltin Royale,3.5,"['Private Swimming Pool', 'Private Kitchen']","₹7,511 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Acron Waterfront Resort,Baga,| 3 minutes walk to Morjim Beach,3.8,"['Spa', 'Swimming Pool']","₹9,374 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesINR500discountonsessionofSpa
goSTOPS Goa Calangute,Calangute Baga Road,| About a minute walk to Cavelossim Beach,3.9,"['Beds in a Hostel', '| 2 Dorm Beds']","₹2,135 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,
Artistry Suites,Calangute,| 2.4 km drive to Mandrem Beach,4.8,"['Living Room', 'Restaurant']","₹10,222 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnF&BServices
HOTEL GOLDEN PLATEAU,Povorim,| About a minute walk to Utorda Beach,3.6,"['Bar', 'Jacuzzi']","₹4,844 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Hotel Delta Residency,Calangute,| 4-5 minutes walk from Baga Beach,3.7,"['Spa', 'Swimming Pool']","₹1,898 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Ocean Palms Goa,Calangute,| 9 minutes walk to Calangute Beach,4.3,"['Gym', 'Swimming Pool']","₹7,351 per night",null,null,null,"CoupleFriendlyBreakfastIncludedEnjoyavibrantdiningexperiencecomplementedbyliveperformanceslike–BellyDance,MagicShows,DJNights&AerialDanceatTerra(ChargedApply)20%offonsessionof60minsSpa"
Marina Bay Beach Resort,Candolim,| 7 minutes walk to Candolim Beach,3.6,"['Restaurant', 'Room in a Cottage']","₹3,333 per night",null,null,null,CoupleFriendlyBreakfastIncluded
"Vivanta Goa, Panaji",Panjim,null,4.5,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹18,225 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableGetaTajGiftCardworthatleastINR500forF&B&Spa
Jasminn Hotel- AM Hotel Kollection,Betalbatim,| About a minute walk to Morjim Beach,4.3,"['Housekeeping', 'Indoor Games']","₹6,841 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Goan Fiesta Studios Calangute,Calangute,| 10 minutes walk to Baga Beach,4.3,"['Restaurant', '| 1 Bedroom | Sleeps 4 guests']","₹2,010 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyEntireapartmentofferingakitchen,caretaker&parking"
Park Prime Goa,Panjim,| 5 minutes walk to Calangute Beach,3.7,"['Caretaker', 'Lawn']","₹5,150 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Estrela Do Mar Beach Resort - A Beach Property,Calangute,| 4-5 minutes walk from Calangute Beach,3.7,"['Swimming Pool', 'Gym']","₹5,294 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Common Home Agonda Beach,Agonda,null,4.6,"['Restaurant', 'Bar']","₹3,482 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBeachfronthomestaywitharestaurant&stylishdecor
Crystal Bay Baga,Baga,| 3-4 minutes walk from Calangute Beach,3.4,"['Jacuzzi', 'Swimming Pool']","₹2,308 per night",null,null,null,CoupleFriendly
The Queeny,Mormugao,| 4-5 minutes walk from Calangute Beach,3,"['Swimming Pool', 'Gym']","₹1,498 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Susegado Calangute,Calangute,| 8 minutes walk to Candolim Beach,5,"['null', 'Beds in a Hostel']","₹1,925 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,
Lazy Bee Cottages,Nagoa,| 1.5 km drive to Deltin Royale,4.2,"['| 2 Dorm Beds', 'Swimming Pool']","₹3,616 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Villa Donna Luxury Apartment,Panjim,| 2.2 km drive to Betalbatim Beach,4.4,"['Caretaker', 'Swimming Pool']","₹8,185 per night",Like a 4 Star,Entire Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly
GoAround Homes | Portuguese Villa at Anjuna Beach,Anjuna,| 1.7 km drive to Calangute Beach,4.4,"['24-hour Room Service', 'Gym']","₹3,089 per night",null,Room in a Villa,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyVillasofferingakitchen,caretaker,terrace,garden&sit-outs"
Atlanta Beach Resort,Calangute,| 10 minutes walk to Deltin Royale,3.3,"['Swimming Pool', 'Swimming Pool']","₹2,374 per night",null,null,null,Breakfastavailableatextracharges
Arya Cottages,Agonda,| 2 minutes walk to Calangute Beach,3.7,"['Water Sports', 'Swimming Pool']","₹3,044 per night",Like a 3 Star,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
DiVaN Clarks Inn (Calangute Beach),Calangute,| 3 minutes walk to Agonda Beach,3.5,"['Restaurant', 'Water Sports']","₹2,192 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%OffonF&Bservices
Goa Marriott Resort & Spa,Panjim,| 3 minutes walk to Baga Beach,4.4,"['Lounge', 'Room in an Apartment']","₹22,500 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastavailableatextrachargesAvail15%discountonspa,food&beverages"
The Baga Beach Resort,Baga,| 9.7 km drive to Goa International Airport,4,"['| 1 Bedroom | Sleeps 3 guests', 'Reception']","₹7,001 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesComplimentaryHi-Tea
The X & Z Goa,Calangute,| 2 minutes walk to Calangute Beach,3.9,"['Housekeeping', 'Entire Apartment']","₹2,694 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Park Regis,Baga,null,3.6,"['| 2 Bedrooms | Sleeps 6 guests', 'Reception']","₹9,276 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Laxmi Empire Hotel,Margao,| 4-5 minutes walk from Miramar Beach,4.3,"['Housekeeping', 'Gym']","₹10,833 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Cozy Apartments in Monarch Palms | Rooms & Pool,Candolim,| 4 minutes walk to Anjuna Beach,4.2,"['Swimming Pool', 'Room in a Hostel']","₹8,426 per night",Like a 4 Star,Room in an Apartment,| 1 Bedroom | Sleeps 10 guests,"CoupleFriendlyRoomsinanapartmentwithakitchen,Wi-Fi&parking"
Agonda Beach Chalets,Agonda,| 9 minutes walk to Calangute Beach,4.1,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹5,369 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"Beachfrontresortfeaturingarestaurant,parking&seaviews"
Obrigado Beach Cottages | Room & Pool,Arambol,| 3 minutes walk to Agonda Beach,3.9,"['Kitchenette', 'Swimming Pool']","₹3,262 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges
Coco Homes by MyRoom,Candolim,| 10 minutes walk to Calangute Beach,3.6,"['Restaurant', 'Swimming Pool']","₹3,039 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges
Baga Beach Myron,Baga,| 2 minutes walk to Miramar Beach,3.3,"['Restaurant', 'Room in an Apartment']","₹3,648 per night",null,null,null,Breakfastavailableatextracharges
Hotel Succegado,Panjim,| About a minute walk to Baga Beach,4.2,"['| 1 Bedroom | Sleeps 4 guests', 'Reception']","₹2,340 per night",null,null,null,
Calangute Inn by AZ Goa,Calangute,| 4-5 minutes walk from Calangute Beach,3.1,"['Caretaker', 'Beds in a Hostel']","₹1,051 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,
The Flora Residency,Calangute Baga Road,| 2.5 km drive to Baga Beach,3.4,"['| 2 Dorm Beds', 'Kitchenette']","₹2,477 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Madpackers Goa (Anjuna),Anjuna,Ends  in  18h:  04m:  32s,3.9,"['Living Room', 'Swimming Pool']","₹1,991 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Vibranthostelfeaturingacafe,parking&indoorgames"
The Hammock Goa - Holiday Stay & Cafe,Anjuna,| 10 minutes walk to Candolim Beach,3.6,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹4,946 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 3 guests,CoupleFriendlyFreeCancellationBook@₹0available
Baga Hideout Resort,Baga,| 2 minutes walk to Agonda Beach,3,"['Swimming Pool', 'Caretaker']","₹5,364 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesTropicalhavenwithpool&charmingcottagesnearBagaBeach
Whoopers Boutique Anjuna Goa,Anjuna,| 2.7 km drive to Mandrem Beach,4.3,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹3,538 per night",null,Bed in a Hostel,| 2 Dorm Beds,CoupleFriendlyFreeCancellationBook@₹0availableApartmentamidstplantationwithapool&aplayarea
Cuba Agonda,Agonda,| About a minute walk to Candolim Beach,3.8,"['Shared Swimming Pool', 'Caretaker']","₹5,559 per night",Like a 3 Star,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyLuxebeachhutfeaturingabar,arestaurant&sunbeds."
Brushwood Villa | Rooms & Caretaker,Palolem,| About a minute walk to Baga Beach,3.1,"['null', 'Restaurant']","₹3,858 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFreeCancellationBook@₹0available
"Hotel Goa Continental by DL Hotels, Arpora-Baga",Arpora,| 7 minutes walk to Deltin Royale,3.3,"['24-hour Room Service', 'Swimming Pool']","₹3,697 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
juSTa Morjim Beach Resort (80 steps from Morjim Beach),Morjim,| 9 minutes walk to Calangute Beach,4.2,"['Indoor Games', 'Gym']","₹9,871 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesBooknowandget15%discountonfood&beveragesandlaundryGuaranteed15%DiscountonF&Bservices
Alore Grande Candolim beach with kitchen,Candolim,| 7 minutes walk to Calangute Beach,3.4,"['Swimming Pool', 'Restaurant']","₹12,790 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available
Acron Seawinds 1BHK - Premium Apartment with Pool,Baga,| 2.6 km drive to Anjuna Beach,3.4,"['Bar', 'Spa']","₹3,788 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
"Storii By ITC Hotels, Shanti Morada, Goa",Bardez,| 2.8 km drive to Anjuna Beach,4.8,"['Gym', 'Swimming Pool']","₹14,563 per night",null,null,null,"CoupleFriendlyBreakfastIncludedFreeRoomUpgrade,SubjecttoAvailability"
Virat Square Garden | Rooms & Caretaker,Bardez,| 4 minutes walk to Baga Beach,4.4,"['Beds in a Hostel', '| 2 Dorm Beds']","₹1,789 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Nirvana Hill Resort,Margao,| 8 minutes walk to Anjuna Beach,3.9,"['Swimming Pool', 'Living Room']","₹4,890 per night",Like a 3 Star,Room in a Tree House,| 1 Bedroom | Sleeps 3 guests,"BreakfastavailableatextrachargesCottageswithapool,kitchen,restaurant&parking"
Zip By Spree Hotels Hyde Goa,Candolim,| About a minute walk to Agonda Beach,4.2,"['Room in a Homestay', '| 1 Bedroom | Sleeps 4 guests']","₹3,491 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Indie Stays Goa,Candolim,| 6 minutes walk to Palolem Beach,4.2,"['Elevator/Lift', 'Air Conditioning']","₹2,909 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Daystar Ventures | Goa Junction Apartment,Vagator,| 3.0 km drive to Baga Beach,4.2,"['Room in an Apartment', '| 1 Bedroom | Sleeps 2 guests']","₹5,239 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 6 guests,CoupleFriendly
Palmarinha De Goa,Calangute,| About a minute walk to Morjim Beach,4,"['Reception', 'Housekeeping']","₹3,973 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Hotel Casa de patio,Povorim,| 8 minutes walk to Candolim Beach,4.2,"['Swimming Pool', 'Restaurant']","₹3,183 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available15%DiscountonAirportTransfer
Naik Guest House 2,Arambol Beach,| 4-5 minutes walk from Calangute Beach,4.3,"['Gym', 'Swimming Pool']","₹1,516 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,
The Village Inn.,South Goa,| 3.0 km drive to Calangute Beach,4.1,"['Room in an Apartment', '| 1 Bedroom | Sleeps 8 guests']","₹2,031 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Resort Rio,Arpora,null,3.6,"['Reception', 'Housekeeping']","₹8,069 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Goa Holiday AC & NON-AC ROOMS,Calangute,Ends  in  02h:  59m:  50s,3.6,"['Jacuzzi', 'Room in a Homestay']","₹1,117 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Baale Resort Goa,Arpora,| 4-5 minutes walk from Candolim Beach,4.2,"['| 1 Bedroom | Sleeps 4 guests', 'Shared Living Room']","₹1,44,844 per night",Like a 5 Star,Entire Villa,| 4 Bedrooms | Sleeps 12 guests,"CoupleFriendlyBreakfastIncludedResortwithapool,livingroom,diningarea&arestaurantFreeAirportTransfer"
Sonnet-A boutique hotel by Lotus leaf Hotels,Anjuna,| 9 minutes walk to Candolim Beach,4.1,"['Barbeque', 'Gym']","₹3,667 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Camp Sanfrancisco,Palolem,| 2.1 km drive to Vagator Beach,3,"['Swimming Pool', 'Swimming Pool']","₹2,590 per night",null,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyFreeCancellationBook@₹0availableSea-facinghutofferingacaretaker,BBQ&beachactivities"
Olive Alidia Beach Resort by Embassy Group,Baga,| 2.5 km drive to Calangute Beach,4.8,"['Indoor Games', 'Room in a Cottage']","₹3,459 per night",null,null,null,CoupleFriendly
Ena Holiday Homes By Ronz Vista De Praia,Calangute,null,4.3,"['| 1 Bedroom | Sleeps 3 guests', 'Swimming Pool']","₹2,573 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 6 guests,CoupleFriendly
Mayflower By Casa Eternal Beach Resort - Baga,Baga,null,3.1,"['Caretaker', 'Swimming Pool']","₹3,820 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Hotel Sona,Panjim,| 9 minutes walk to Arossim Beach,3.3,"['null', 'Room in a Hostel']","₹2,066 per night",null,null,null,FreeCancellationBook@₹0availableBreakfastavailableatextracharges
Casa German holiday Baga,Calangute,| 2.9 km drive to Baga Beach,4.5,"['| 1 Bedroom | Sleeps 3 guests', 'Living Room']","₹1,489 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available
White Flower Pool Facing Cottages,Vagator,null,3.9,"['Lounge', 'Swimming Pool']","₹4,375 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 3 guests,"FreeCancellationBook@₹0availableBreakfastavailableatextrachargesHomestayfeaturingapool,livingroom,bar&arestaurant"
Summer Hostel Palolem,Palolem,| 3.0 km drive to Baga Beach,4.9,"['Spa', 'Beds in a Hostel']","₹1,122 per night",null,Beds in a Hostel,| 2 Dorm Beds,
Sea view holidays,Vagator,| 2.4 km drive to Vagator Beach,4.4,"['| 2 Dorm Beds', 'Swimming Pool']","₹1,583 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
"Taj Cidade de Goa Heritage, Goa",Vainguinim Beach,| 7 minutes walk to Palolem Beach,4.7,"['Kitchenette', 'Gym']","₹26,250 per night",null,null,null,BreakfastIncludedGetaTajGiftCardworthatleastINR500forF&B&Spa
Locomo Boutique Morjim - Stay. Work. Eat.,Morjim,| 6 minutes walk to Baga Beach,4.8,"['Private Beach', 'Swimming Pool']","₹4,078 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyBreakfastavailableatextrachargesApartmentwithapool,kitchen,terrace&sit-outs"
CABO SERAI,South Goa,| 10 minutes walk to Calangute Beach,4.3,"['Restaurant', 'Room in an Apartment']","₹14,629 per night",Like a 5 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastIncluded
Mayfair on Sea,Morjim,| About a minute walk to Baga Beach,4.4,"['| 1 Bedroom | Sleeps 4 guests', 'Housekeeping']","₹21,000 per night",null,null,null,CoupleFriendlyBreakfastIncludedComplimentaryHi-TeaservedwithVegSnack(s)
ALOHA HOLIDAY RESORT,Baga,| 9 minutes walk to Deltin Royale,4.2,"['Caretaker', 'Swimming Pool']","₹5,303 per night",null,null,null,CoupleFriendly
Shivam BnB Hostel,North Goa,| About a minute walk to Calangute Beach,4,"['Restaurant', '| 1 Bedroom | Sleeps 3 guests']",₹626 per night,null,Room in a Camp,| 1 Bedroom | Sleeps 2 guests,CoupleFriendly
Olive Calangute Niwasa by Embassy Group,Calangute,Ends  in  02h:  59m:  57s,4.1,"['Reception', 'Free Wi-Fi']","₹3,736 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyApartmentfeaturingvibrantrooms,plushpool&lawn"
SIBAYA BEACH RESORT,Morjim,| 4-5 minutes walk from Vagator Beach,3.6,"['Swimming Pool', 'Restaurant']","₹6,965 per night",null,null,null,CoupleFriendlyBreakfastIncluded20%offonsessionofSpa
The Tato Hotel,Vasco Da Gama,| 1.7 km drive to Palolem Beach,3.7,"['Gym', 'Swimming Pool']","₹2,160 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges
Casa Menezes | Rooms & Restaurant,Tiswadi,| 9 minutes walk to Vagator Beach,5,"['Beds in a Hostel', '| 2 Dorm Beds']","₹8,133 per night",Like a 4 Star,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,BreakfastIncluded
"VITS Shanti Solitaire, Arpora",Arpora,| 1.6 km drive to Miramar Beach,3.8,"['Bonfire', 'Indoor Games']","₹6,235 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Green Nest Hostel Baga,Arpora,| 8 minutes walk to Morjim Beach,4.5,"['Swimming Pool', 'Gym']","₹1,065 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,
Granpas Inn Hotel Bougainvillea,Anjuna,| About a minute walk to Cabo De Rama Beach,4.4,"['null', 'Restaurant']","₹5,125 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnF&BServices,SubjecttoAvailability"
FabExpress Victoria With Pool - Nr. Baga Beach,Baga,| About a minute walk to Morjim Beach,2,"['Bar', 'Gym']","₹1,948 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesOnlya1-minutewalktoTitosLane,idealfornightlifelovers"
Dodi Holiday Homes,Baga,| 3-4 minutes walk from Baga Beach,3.7,"['Swimming Pool', 'Swimming Pool']","₹1,779 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 5 guests,CoupleFriendlyBreakfastavailableatextracharges
Seashell Suites and Villas Goa,Candolim,null,4.8,"['Restaurant', 'Spa']","₹31,620 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Mitra Hostel Arambol.,Arambol Beach,| 3-4 minutes walk from Calangute Beach,4.5,"['Swimming Pool', 'Gym']","₹2,037 per night",null,Beds in a Hostel,| 2 Dorm Beds,
juSTa Casa Frangipani Assagao (3 KM from Anjuna Beach),Assagao,| 3 minutes walk to Morjim Beach,4.4,"['Swimming Pool', 'Room in an Apartment']","₹5,366 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountonF&Bservices
Westwood Residence,Porvorim,| 7.4 km drive to Goa International Airport,4.4,"['| 1 Bedroom | Sleeps 4 guests', 'Housekeeping']","₹3,833 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyFreeCancellationBook@₹0availablePropertywithapool,livingroom,kitchen&terracewithviews"
Agonda HolidayHome,Agonda,null,3.5,"['Shared Parking', 'Restaurant']","₹1,834 per night",null,Room in a Homestay,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyFreeCancellationBook@₹0availableBeach-viewcottageofferingagarden,bonfire&sit-outs"
Grand Goa Exotica,Bardez,| 2.6 km drive to Baga Beach,3.7,"['Swimming Pool', 'Kids Play Area']","₹2,785 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
"Sortby Stays Anjuna , Grand Peddem",Anjuna,| 2.8 km drive to Baga Beach,4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹3,928 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,Breakfastavailableatextracharges
Lillywoods Highland Beach Apartments,Candolim,| 2.5 km drive to Anjuna Beach,2.7,"['Housekeeping', 'Free Wi-Fi']","₹3,266 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyBreakfastavailableatextrachargesApartmentunitsfeaturingalawn,chef,sharedkitchen&pool"
Bliss Holiday Inn,Calangute,| 3 minutes walk to Baga Beach,3.6,"['Water Sports', 'Swimming Pool']","₹1,090 per night",null,null,null,CoupleFriendly
