hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
YoYo Vagator Goa Retreat,Vagator,| 4-5 minutes walk from Calangute Beach,null,"['| 1 Bedroom | Sleeps 5 guests', 'Bonfire']","₹2,507 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,
Dersy Beach Executive Rooms,Agonda,| 710 m drive to Calangute Beach,null,"['Night Club', 'Room in a Homestay']","₹4,456 per night",Like a 3 Star,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Cozy Nook Studio with plunge Pool,Anjuna,| 10 minutes walk to Anjuna Beach,null,"['| 1 Bedroom | Sleeps 4 guests', 'Power Backup']","₹3,264 per night",Like a 3 Star,Entire Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Joy Guest House,Calangute,null,3.7,"['Housekeeping', 'Beds in a Hostel']","₹4,190 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Karishma Resort - Calangute Goa,Calangute,null,null,"['| 2 Dorm Beds', 'Free Parking']","₹6,535 per night",Like a 3 Star,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastavailableatextracharges
HOTEL SILVER INN,Canacona,| 5 minutes walk to Candolim Beach,3,"['Air Conditioning', 'Room in a Cottage']","₹4,151 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Hotel Sea View,Panjim,| 2.6 km drive to Anjuna Beach,3.9,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹2,108 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Surya Sangolda-1 BHK Luxury Apartment,Porvorim,| 3-4 minutes walk from Calangute Beach,2.6,"['Housekeeping', 'Room in a Cottage']","₹7,339 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
FabHotel Wenzet Cottages - Nr. Morjim beach,Morjim,| 4-5 minutes walk from Calangute Beach,3.9,"['| 1 Bedroom | Sleeps 4 guests', 'Caretaker']","₹1,899 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Bougainvillea (Deluxe Room),Calangute,| 9 minutes walk to Calangute Beach,4.3,"['Housekeeping', 'Entire Apartment']","₹12,096 per night",Like a 3 Star,Room in a Homestay,| 1 Bedroom | Sleeps 4 guests,
